"Date","Price","Open","High","Low","Change %"
"Mar 12, 2020","1.1186","1.1260","1.1333","1.1056","-0.67%"
"Mar 11, 2020","1.1262","1.1314","1.1366","1.1251","-0.16%"
"Mar 10, 2020","1.1280","1.1446","1.1459","1.1274","-1.48%"
"Mar 09, 2020","1.1449","1.1293","1.1494","1.1284","1.44%"
"Mar 06, 2020","1.1286","1.1237","1.1355","1.1211","0.40%"
